Abb1,Abb2,Bmsy,Fmsy,B.Bmsy,F.Fmsy,TM_ABC,TM,ABC,Assessment_Year,Spp_type
Lingcod,Lingcod,,NA,0.500973252,NA,0.840416667,NA,NA,1999,Other
Dover,Dover,,NA,0.588379275,NA,1.1105453,NA,NA,2000,Flatfishes
SST,SST,,NA,0.8424342,NA,0.346550357,NA,NA,2000,Scorpaenids
Yelloweye,Yelloweye,,NA,0.317955112,NA,0.392307692,NA,NA,2000,Scorpaenids
Black,Black,,NA,1.145681639,NA,0.689686099,NA,NA,2001,Scorpaenids
Bocaccio,Bocaccio,,NA,0.544077135,NA,1.081967213,NA,NA,2001,Scorpaenids
Canary,Canary,,NA,0.165345164,NA,0.394736842,NA,NA,2001,Scorpaenids
Cowcod,Cowcod,,NA,0.059674071,NA,0.208333333,NA,NA,2001,Scorpaenids
Darkblotched,Darkblotched,,NA,0.304290352,NA,0.566225166,NA,NA,2001,Scorpaenids
Pacific hake - Pacific Coast,P. Hake,,NA,1.414175378,NA,0.991596639,NA,NA,2001,Other
Petrale,Petrale,,NA,0.396236046,NA,0.709268646,NA,NA,2001,Flatfishes
POP,POP,,NA,0.644367831,NA,0.199221285,NA,NA,2001,Scorpaenids
Sablefish,Sablefish,,NA,0.861694919,NA,0.861612664,NA,NA,2001,Other
Widow,Widow,,NA,0.63811779,NA,0.573038445,NA,NA,2001,Scorpaenids
Yellowtail,Yellowtail,,NA,1.390790027,NA,1.054990464,NA,NA,2001,Scorpaenids
Blackgill rockfish - Southern California,Blackgill,,NA,1.31,0.55,0.358943512,NA,NA,2005,Scorpaenids
Dover sole - Pacific Coast,Dover,,NA,1.58,0.415,0.9,NA,NA,2005,Flatfishes
Gopher rockfish - Northern California,Gopher,,NA,2.42,0.2422,NA,NA,NA,2005,Scorpaenids
Kelp greenling - Oregon,Kelp_greenling,,NA,1.23,0.802,NA,NA,NA,2005,Other
LST,LST,,NA,1.78,0.314,0.35,NA,NA,2005,Scorpaenids
California scorpionfish - Southern California,Scorpionfish,,NA,2,0.688,0.4,NA,NA,2005,Scorpaenids
SST,SST,,NA,1.57,0.46,0.79,NA,NA,2005,Scorpaenids
Starry flounder - Pacific Coast,StarryF,,NA,1.25,0.318333333,0.018687873,NA,NA,2005,Flatfishes
Yellowtail rockfish - Northern Pacific Coast,Yellowtail,,NA,1.36,0.506,0.134024087,NA,NA,2005,Scorpaenids
ATF,Arrowtooth,32125.5,0.190847,1.97044404,0.20423009,0.404469937,4090,10112,2007,Flatfishes
Black_N,Black,,NA,1.38,0.698,0.42887931,199,464,2007,Scorpaenids
Black rockfish - Southern Pacific Coast,Black_CA,,NA,1.762,0.47,NA,650,1317,2007,Scorpaenids
Blue rockfish - California,Blue_CA,,NA,0.749,1.227,NA,NA,NA,2007,Scorpaenids
